,Date,AAPL,ACN,AMD,AMZN,COST,DIS,F,GILD,JPM,KO,LUV,MA,MSFT,NVDA,PFE,RGS,SOS,TSLA,UNH,XOM
13661,2016-04-11,25.013999938964844,100.29532623291016,2.759999990463257,29.796499252319336,130.528076171875,90.82527923583984,8.921818733215332,74.52120208740234,47.76079177856445,37.12203979492188,42.03311538696289,89.65210723876953,48.81176376342773,8.791243553161621,23.153791427612305,14.960000038146973,,16.661333084106445,113.7542953491211,59.1777229309082
13662,2016-04-12,25.33981704711914,101.43928527832033,2.809999942779541,30.15850067138672,131.8153533935547,91.84420013427734,9.027525901794434,75.61768341064453,48.64707565307617,37.28990936279297,42.298370361328125,90.02617645263672,49.1173210144043,8.781442642211914,23.204614639282227,15.149999618530272,,16.521333694458008,114.17750549316406,59.909278869628906
13663,2016-04-13,25.706928253173828,102.93460845947266,2.799999952316284,30.74099922180176,133.00633239746094,93.8537368774414,9.203709602355955,75.57880401611328,50.70686340332031,36.80229187011719,43.42570114135742,91.83899688720705,49.746463775634766,9.001956939697266,23.62572479248047,15.43000030517578,,16.968666076660156,115.04193878173828,60.25019454956055
13664,2016-04-14,25.720687866210938,102.74658203125,2.720000028610229,31.037500381469727,132.58602905273438,93.0518035888672,9.224849700927734,76.3564224243164,51.36336135864258,36.63444137573242,44.2498664855957,92.24183654785156,49.75545883178711,9.026461601257324,23.705591201782227,15.199999809265137,,16.790666580200195,115.24005889892578,60.67631912231445
13665,2016-04-15,25.204442977905277,102.80924987792967,2.700000047683716,31.29450035095215,134.13607788085938,93.0140609741211,9.119139671325684,76.43421173095703,50.77250671386719,36.85025787353516,44.5625,92.73099517822266,50.01608276367188,9.097516059875488,23.5966911315918,15.43000030517578,,16.96733283996582,114.65474700927734,60.34962844848633
13666,2016-04-18,24.660659790039062,103.49869537353516,2.759999990463257,31.76749992370605,134.2499237060547,95.74061584472656,9.337605476379396,77.14185333251953,51.10076522827149,36.94618225097656,44.61933898925781,93.68055725097656,50.74409866333008,9.058313369750977,23.67654800415039,15.300000190734863,,16.92533302307129,115.0869598388672,60.92491912841797
13667,2016-04-19,24.52987670898437,103.0599594116211,2.619999885559082,31.395000457763672,134.58273315429688,96.8350067138672,9.471503257751465,77.32848358154297,51.96242904663086,37.24993515014648,44.64775848388672,93.26811981201172,50.68117141723633,8.896602630615234,23.87984085083008,15.81999969482422,,16.4913330078125,117.50917053222656,61.23033905029297
13668,2016-04-20,24.58035087585449,103.45392608642578,2.700000047683716,31.64949989318848,133.7594757080078,97.42937469482422,9.612449645996094,77.84951782226562,52.71739959716797,35.46737289428711,44.571964263916016,93.9011688232422,49.9621696472168,8.930902481079102,24.12670135498047,15.779999732971191,,16.6646671295166,120.59774017333984,61.64937973022461
13669,2016-04-21,24.31419563293457,102.50482940673828,2.619999885559082,31.549999237060547,132.6035614013672,97.0897445678711,9.619494438171388,79.1170425415039,52.19220733642578,34.89983367919922,45.21614837646485,93.55587005615234,50.1329345703125,8.921101570129395,24.13396453857422,15.489999771118164,,16.55266761779785,119.72428894042967,61.64228439331055
13670,2016-04-22,24.247655868530277,102.03024291992188,3.990000009536743,31.024999618530277,131.28990173339844,97.9011001586914,9.591307640075684,79.26480102539062,52.49583053588867,35.60326385498047,44.76142883300781,93.4695281982422,46.537879943847656,8.886800765991211,24.15574836730957,15.75,,16.916667938232422,120.77784729003906,62.16783905029297
13671,2016-04-25,24.109994888305664,102.16455841064452,3.450000047683716,31.309999465942383,132.68238830566406,98.65583801269533,9.570165634155272,79.54476928710938,52.19220733642578,35.7391471862793,44.38249588012695,93.01873779296876,46.8344841003418,8.930902481079102,24.1121826171875,15.56999969482422,,16.788000106811523,120.46266174316406,62.02581405639648
13672,2016-04-26,23.9424991607666,102.62122344970705,3.660000085830689,30.8439998626709,133.63690185546875,98.95775604248048,9.68996810913086,78.79823303222656,52.46300506591797,35.59526443481445,43.747779846191406,93.2968978881836,46.2323112487793,8.938253402709961,23.996017456054688,15.869999885559082,,16.916000366210938,120.87684631347656,62.23887634277344
13673,2016-04-27,22.44422721862793,103.40021514892578,3.7300000190734863,30.328500747680664,133.30311584472656,99.32569885253906,9.732717514038086,78.3238754272461,52.610721588134766,35.715179443359375,43.16991424560547,94.36155700683594,45.78292846679688,9.14161777496338,23.9597110748291,16.010000228881836,,16.764667510986328,119.58023071289062,62.8283805847168
13674,2016-04-28,21.7581844329834,102.37049865722656,3.609999895095825,30.100000381469727,133.01332092285156,98.14639282226562,10.039091110229492,75.4310302734375,52.19220733642578,35.675201416015625,41.73945236206055,93.21055603027344,44.84822082519531,8.869650840759277,23.89436912536621,13.68000030517578,,16.513999938964844,118.92291259765624,62.52299118041992
13675,2016-04-29,21.508094787597656,101.10799407958984,3.549999952316284,32.97949981689453,130.10601806640625,97.4199447631836,9.661468505859377,68.59561157226562,51.86394882202149,35.81109619140625,42.26047897338867,93.02833557128906,44.821250915527344,8.705488204956055,23.749156951904297,13.670000076293944,,16.05066680908203,118.57170867919922,62.785770416259766
13676,2016-05-02,21.48514938354492,102.43318176269533,3.740000009536743,34.192501068115234,132.56536865234375,98.45772552490234,9.70422077178955,69.20990753173828,52.34811782836914,35.95498275756836,41.69207763671875,93.77648162841795,45.48633193969727,8.82064437866211,23.814498901367188,13.729999542236328,,16.1200008392334,118.94993591308594,63.30423355102539
13677,2016-05-03,21.838491439819336,101.4482421875,3.5999999046325684,33.566001892089844,132.98696899414062,97.91053009033205,9.568843841552734,67.786865234375,51.3387451171875,35.84307861328125,40.86790084838867,92.51042175292967,44.7403564453125,8.715288162231445,24.46794891357422,13.640000343322754,,15.48799991607666,119.27407836914062,62.57979202270508
